word_with_harakat,word_without_harakat,length,starts_with
أَبَدًا,أبدا,4,أ
أَبَشَرٌ,أبشر,4,أ
أَجَلٌ,أجل,3,أ
أَجَلٍ,أجل,3,أ
أَحَدٌ,أحد,3,أ
أَحَدٍ,أحد,3,أ
أَسَفًا,أسفا,4,أ
أَشِرٌ,أشر,3,أ
أَمَلًا,أملا,4,أ
أَمَنَةً,أمنة,4,أ
أُذُنٌ,أذن,3,أ
أُكُلٍ,أكل,3,أ
أُمَمٌ,أمم,3,أ
أُمَمٍ,أمم,3,أ
بَرَدٍ,برد,3,ب
بَرَرَةٍ,بررة,4,ب
بَشَرٌ,بشر,3,ب
بَشَرٍ,بشر,3,ب
بَقَرَةً,بقرة,4,ب
بَقَرَةٌ,بقرة,4,ب
بَلَدٍ,بلد,3,ب
بِأَخٍ,بأخ,3,ب
بِثَمَنٍ,بثمن,4,ب
بِخَبَرٍ,بخبر,4,ب
بِدَمٍ,بدم,3,ب
بِرُسُلٍ,برسل,4,ب
بِسَبَبٍ,بسبب,4,ب
بِسَحَرٍ,بسحر,4,ب
بِسَخَطٍ,بسخط,4,ب
بِشَرَرٍ,بشرر,4,ب
بِصَدَقَةٍ,بصدقة,5,ب
بِغَضَبٍ,بغضب,4,ب
بِقَبَسٍ,بقبس,4,ب
بِقَدَرٍ,بقدر,4,ب
بِكَلِمَةٍ,بكلمة,5,ب
بِمَثَلٍ,بمثل,4,ب
بِنَبَإٍ,بنبإ,4,ب
بِنَهَرٍ,بنهر,4,ب
ثَمَرٌ,ثمر,3,ث
ثَمَرَةٍ,ثمرة,4,ث
جَبَلٍ,جبل,3,ج
جَنَفًا,جنفا,4,ج
جُدُرٍ,جدر,3,ج
جُرُزًا,جرزا,4,ج
جُرُفٍ,جرف,3,ج
جُنُبٍ,جنب,3,ج
حَدَبٍ,حدب,3,ح
حَرَجٌ,حرج,3,ح
حَرَجٍ,حرج,3,ح
حَسَنًا,حسنا,4,ح
حَسَنٍ,حسن,3,ح
حَسَنَةً,حسنة,4,ح
حَسَنَةٌ,حسنة,4,ح
حَسَنَةٍ,حسنة,4,ح
حَفَظَةً,حفظة,4,ح
حَمَإٍ,حمإ,3,ح
حَمِئَةٍ,حمئة,4,ح
حُرُمٌ,حرم,3,ح
حُمُرٌ,حمر,3,ح
حِجَجٍ,حجج,3,ح
خُشُبٌ,خشب,3,خ
خُلُقٍ,خلق,3,خ
دَخَلًا,دخلا,4,د
دَرَجَةً,درجة,4,د
دَرَجَةٌ,درجة,4,د
دُبُرٍ,دبر,3,د
دُسُرٍ,دسر,3,د
ذَكَرٍ,ذكر,3,ذ
ذَهَبٍ,ذهب,3,ذ
ذُلِّلًا,ذللا,4,ذ
رَجُلٌ,رجل,3,ر
رَجُلٍ,رجل,3,ر
رَشَدًا,رشدا,4,ر
رَصَدًا,رصدا,4,ر
رَغَدًا,رغدا,4,ر
رَقَبَةٍ,رقبة,4,ر
رَهَقًا,رهقا,4,ر
رُسُلًا,رسلا,4,ر
رُسُلٌ,رسل,3,ر
زَبَدٌ,زبد,3,ز
زَلَقًا,زلقا,4,ز
سَعَةً,سعة,3,س
سَعَةٍ,سعة,3,س
سَفَرٍ,سفر,3,س
سَفَرَةٍ,سفرة,4,س
سَكَنٌ,سكن,3,س
سَنَةً,سنة,3,س
سَنَةٍ,سنة,3,س
سُرُرًا,سررا,4,س
سُرُرٌ,سرر,3,س
سُرُرٍ,سرر,3,س
سُعُرٍ,سعر,3,س
سُنَنٌ,سنن,3,س
سُوَرٍ,سور,3,س
سِنَةٌ,سنة,3,س
شَجَرٌ,شجر,3,ش
شَجَرٍ,شجر,3,ش
شَجَرَةً,شجرة,4,ش
شَجَرَةٌ,شجرة,4,ش
شَجَرَةٍ,شجرة,4,ش
شُعَبٍ,شعب,3,ش
شُغُلٍ,شغل,3,ش
صَدَقَةً,صدقة,4,ص
صَدَقَةٍ,صدقة,4,ص
صَعَدًا,صعدا,4,ص
صُحُفٍ,صحف,3,ص
طَبَقٍ,طبق,3,ط
ظَمَأٌ,ظمأ,3,ظ
ظُفُرٍ,ظفر,3,ظ
ظُلَلٌ,ظلل,3,ظ
ظُلَلٍ,ظلل,3,ظ
عَجَلٍ,عجل,3,ع
عَدَدًا,عددا,4,ع
عَرَضٌ,عرض,3,ع
عَسَلٍ,عسل,3,ع
عَسِرٌ,عسر,3,ع
عَشَرَةٌ,عشرة,4,ع
عَلَقٍ,علق,3,ع
عَلَقَةً,علقة,4,ع
عَلَقَةٍ,علقة,4,ع
عَمَدٍ,عمد,3,ع
عَمَلٌ,عمل,3,ع
عَمَلٍ,عمل,3,ع
عَيرٌ,عير,3,ع
عِوَجٍ,عوج,3,ع
غَبَرَةٌ,غبرة,4,غ
غَدَقًا,غدقا,4,غ
غَضَبٌ,غضب,3,غ
غَضَبٍ,غضب,3,غ
غُرَفٌ,غرف,3,غ
فَدِيَةٌ,فدية,4,ف
فَرَجُلٌ,فرجل,4,ف
فَزَعٍ,فزع,3,ف
فَعَجَبٌ,فعجب,4,ف
فَلَكٍ,فلك,3,ف
فَنَظِرَةٌ,فنظرة,5,ف
فَنُزُلٌ,فنزل,4,ف
فِئَةً,فئة,3,ف
فِئَةٌ,فئة,3,ف
فِئَةٍ,فئة,3,ف
قَبَسٍ,قبس,3,ق
قَتَرٌ,قتر,3,ق
قَتَرَةٌ,قترة,4,ق
قَدَرٍ,قدر,3,ق
قَسَمٌ,قسم,3,ق
قُبُلٍ,قبل,3,ق
قِرَدَةً,قردة,4,ق
قِطَعٌ,قطع,3,ق
كَأَحَدٍ,كأحد,4,ك
كَبَدٍ,كبد,3,ك
كَذِبًا,كذبا,4,ك
كَذِبٍ,كذب,3,ك
كَشَجَرَةٍ,كشجرة,5,ك
كَلِمَةً,كلمة,4,ك
كَلِمَةٌ,كلمة,4,ك
كَلِمَةٍ,كلمة,4,ك
كُتُبٌ,كتب,3,ك
كُتُبٍ,كتب,3,ك
كُفُوًا,كفوا,4,ك
لَعِبٌ,لعب,3,ل
لَفَرِحٌ,لفرح,4,ل
لَقَسَمٌ,لقسم,4,ل
لَهَبٍ,لهب,3,ل
لُمَزَةٍ,لمزة,4,ل
لِأَجَلٍ,لأجل,4,ل
لِأَحَدٍ,لأحد,4,ل
لِبَشَرٍ,لبشر,4,ل
لِبَلَدٍ,لبلد,4,ل
لِرَجُلٍ,لرجل,4,ل
لِسَبَإٍ,لسبإ,4,ل
لِغَدٍ,لغد,3,ل
لِنُرِيَكَ,لنريك,5,ل
مَثَلًا,مثلا,4,م
مَثَلٌ,مثل,3,م
مَثَلٍ,مثل,3,م
مَرَضٌ,مرض,3,م
مَسَدٍ,مسد,3,م
مَلَأٌ,ملأ,3,م
مَلَكٌ,ملك,3,م
مَلِكًا,ملكا,4,م
نَبَإٍ,نبإ,3,ن
نَجَسٌ,نجس,3,ن
نَخَرَةً,نخرة,4,ن
نَصَبٌ,نصب,3,ن
نَفَرٌ,نفر,3,ن
نَفَقَةً,نفقة,4,ن
نَهَرٍ,نهر,3,ن
نُسُكٍ,نسك,3,ن
نُصُبٍ,نصب,3,ن
نُكُرٍ,نكر,3,ن
هُزُوًا,هزوا,4,ه
هُمَزَةٍ,همزة,4,ه
وَأَجَلٌ,وأجل,4,و
وَأَجَلٍ,وأجل,4,و
وَأُمَمٌ,وأمم,4,و
وَبِيَعٌ,وبيع,4,و
وَجِلَةٌ,وجلة,4,و
وَحَفَدَةً,وحفدة,5,و
وَدَمٍ,ودم,3,و
وَدُسُرٍ,ودسر,4,و
وَدِيَةٌ,ودية,4,و
وَرَقَةٍ,ورقة,4,و
وَزُلَفًا,وزلفا,5,و
وَسَعَةً,وسعة,4,و
وَسُعُرٍ,وسعر,4,و
وَشَجَرَةً,وشجرة,5,و
وَعِنَبٍ,وعنب,4,و
وَغَضَبٌ,وغضب,4,و
وَفُرُشٍ,وفرش,4,و
وَلَأَمَةٌ,ولأمة,5,و
وَلَدٌ,ولد,3,و
وَلَدٍ,ولد,3,و
وَلَعِبٌ,ولعب,4,و
وَنَهَرٍ,ونهر,4,و
